0 0 4
500 11 2
1000 50 0
1500 101 0
2000 145 0
2500 264 1
3000 267 1
3500 415 1
4000 886 2
4500 976 2
5000 976 2
5500 1269 2
6000 1102 2
6500 1546 3
7000 1887 3
7500 1730 2
8000 2083 2
8500 2046 2
9000 2166 2
9500 3110 4
10000 4599 5
10500 4476 3
11000 3345 3
11500 3825 3
12000 6322 6
12500 5953 6
13000 8961 6
13500 7583 4
14000 7221 7
14500 8759 4
15000 6059 5
15500 8378 7
16000 7497 6
16500 8420 5
17000 8528 5
17500 9166 6
18000 10296 6
18500 12008 6
19000 10639 7
19500 9849 6
0 0
500 0
1000 0
1500 0
2000 0
2500 0
3000 0
3500 1
4000 1
4500 1
5000 1
5500 1
6000 2
6500 2
7000 2
7500 3
8000 3
8500 3
9000 3
9500 3
10000 3
10500 4
11000 3
11500 3
12000 4
12500 4
13000 4
13500 4
14000 6
14500 7
15000 5
15500 5
16000 5
16500 5
17000 6
17500 6
18000 6
18500 6
19000 6
19500 7
20000 7
20500 8
21000 8
21500 8
22000 8
22500 8
23000 8
23500 8
24000 9
24500 9
25000 9
25500 10
26000 9
26500 12
27000 13
27500 10
28000 11
28500 11
29000 11
29500 11
30000 11
30500 11
31000 12
31500 12
32000 12
32500 12
33000 13
33500 13
34000 16
34500 13
35000 13
35500 14
36000 14
36500 14
37000 14
37500 15
38000 14
38500 15
39000 15
39500 15
40000 17
40500 19
41000 16
41500 16
42000 16
42500 17
43000 17
43500 17
44000 17
44500 18
45000 17
45500 18
46000 20
46500 21
47000 17
47500 18
48000 20
48500 20
49000 20
49500 20
50000 20
50500 20
51000 23
51500 21
52000 20
52500 21
53000 21
53500 22
54000 21
54500 21
55000 23
55500 26
56000 23
56500 23
57000 23
57500 23
58000 23
58500 24
59000 24
59500 28
60000 24
60500 26
61000 24
61500 25
62000 25
62500 25
63000 27
63500 29
64000 26
64500 26
65000 27
65500 25
66000 27
66500 26
67000 31
67500 28
68000 26
68500 27
69000 28
69500 31
70000 32
70500 29
71000 29
71500 29
72000 30
72500 31
73000 34
73500 30
74000 30
74500 31
75000 30
75500 33
76000 35
76500 32
77000 31
77500 31
78000 32
78500 35
79000 40
79500 33
80000 33
80500 33
81000 33
81500 35
82000 37
82500 37
83000 37
83500 35
84000 34
84500 35
85000 42
85500 35
86000 34
86500 35
87000 35
87500 36
88000 35
88500 36
89000 37
89500 38
90000 41
90500 42
91000 39
91500 38
92000 38
92500 41
93000 45
93500 39
94000 39
94500 41
95000 44
95500 45
96000 41
96500 41
97000 41
97500 45
98000 46
98500 42
99000 41
99500 42
100000 44
100500 48
101000 43
101500 44
102000 43
102500 44
103000 51
103500 45
104000 46
104500 45
105000 46
105500 47
106000 52
106500 44
107000 49
107500 47
108000 47
108500 48
109000 48
109500 48
110000 51
110500 50
111000 48
111500 49
112000 52
112500 56
113000 49
113500 50
114000 54
114500 56
115000 52
115500 54
116000 55
116500 66
117000 68
117500 58
118000 57
118500 59
119000 54
119500 53
120000 54
120500 59
121000 57
121500 56
122000 58
122500 63
123000 56
123500 57
124000 56
124500 62
125000 58
125500 62
126000 58
126500 65
127000 59
127500 59
128000 60
128500 67
129000 62
129500 61
130000 61
130500 69
131000 64
131500 61
132000 64
132500 69
133000 64
133500 65
134000 63
134500 68
135000 68
135500 67
136000 66
136500 68
137000 70
137500 69
138000 70
138500 69
139000 71
139500 69
140000 70
140500 72
141000 71
141500 72
142000 72
142500 70
143000 73
143500 76
144000 73
144500 72
145000 75
145500 75
146000 73
146500 85
147000 75
147500 82
148000 77
148500 75
149000 76
149500 76
150000 78
150500 79
151000 81
151500 79
152000 81
152500 79
153000 79
153500 81
154000 80
154500 81
155000 81
155500 79
156000 87
156500 80
157000 83
157500 84
158000 84
158500 91
159000 85
159500 87
160000 86
160500 85
161000 88
161500 87
162000 86
162500 88
163000 88
163500 91
164000 90
164500 89
165000 89
165500 94
166000 91
166500 93
167000 91
167500 91
168000 96
168500 92
169000 96
169500 93
170000 92
170500 105
171000 94
171500 99
172000 93
172500 95
173000 105
173500 97
174000 97
174500 98
175000 102
175500 100
176000 102
176500 99
177000 98
177500 107
178000 99
178500 104
179000 102
179500 110
180000 102
180500 107
181000 102
181500 105
182000 105
182500 108
183000 104
183500 113
184000 106
184500 104
185000 105
185500 107
186000 107
186500 107
187000 106
187500 109
188000 109
188500 109
189000 110
189500 115
190000 111
190500 109
191000 112
191500 112
192000 114
192500 114
193000 115
193500 116
194000 114
194500 116
195000 115
195500 118
196000 116
196500 117
197000 117
197500 121
198000 118
198500 119
199000 119
199500 121
